SMILES,log2_K
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-4.8925
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-4.5564
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-4.5173
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,-10.8863
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,-11.3181
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,-11.4331
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,-10.7725
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,-11.9
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,-11.6324
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,-11.7189
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-10.7027
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-9.7852
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-9.1312
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-8.6153
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-8.1312
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,-6.2617
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,-8.7642
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,-10.6671
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,-8.7852
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,-8.4976
C1=CC(=CC=C1N)S(=O)(=O)N,-12.6096
C1=CC(=CC=C1N)S(=O)(=O)N,-11.2877
C1=CC(=CC=C1N)S(=O)(=O)N,-10.8548
C1=CC(=CC=C1N)S(=O)(=O)N,-13.0247
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-10.4498
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-10.6096
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-10.2088
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-9.6134
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-9.1085
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-11.8196
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-10.9372
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-9.884
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-12.7027
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-8.2543
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-10.7895
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-9.7895
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-12.4002
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,-11.1557
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,-10.8023
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,-11.1178
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,-10.4165
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,-11.1502
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,-11.2998
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,-11.9185
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,-10.7027
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,-10.1071
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,-9.3059
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,-11.8637
